lepton_pT,lepton_eta,lepton_phi,missing_energy_magnitude,missing_energy_phi,jet_1_pt,jet_1_eta,jet_1_phi,jet_1_btag,jet_2_pt,jet_2_eta,jet_2_phi,jet_2_btag,jet_3_pt,jet_3_eta,jet_3_phi,jet_3_btag,jet_4_pt,jet_4_eta,jet_4_phi,jet_4_btag,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb,label
0.34186098,-1.313937902,1.079621911,1.507791519,-1.177171707,1.033695817,-0.297094434,0.90767324,2.173076153,0.535719395,-0.680872619,-1.112084866,2.214872122,0.873716176,-0.637911379,0.094210543,0,0.702473044,-0.596762121,-0.677259624,0,0.818582416,1.103071451,0.99097234,0.505682766,1.083590746,0.793754339,0.770485938,1
0.491562426,-0.03511703,-1.190421224,0.862606049,1.016460419,0.932011783,-1.192262173,-0.538240671,2.173076153,0.862187207,0.140909448,0.855447054,0,1.147158623,-0.448579729,1.398393273,2.548224449,0.703933477,0.08781857,-0.599571884,0,0.981097698,0.808422267,0.985656619,1.405532002,1.351999641,1.031772137,0.887133122,1
0.619668782,-1.805792212,0.193508312,0.507495701,-0.977336287,1.051467657,-1.017981768,0.220802262,2.173076153,0.58532536,-2.179702282,-0.818579912,0,1.837525964,-1.08302319,1.50212872,0,1.197319746,1.699331522,-1.111200929,0,0.540998817,0.875800073,0.985999286,0.764340639,1.06055975,0.922615826,0.794991255,1
2.064525604,1.091764927,0.2928285,1.127988815,-0.200986058,1.543490052,-0.327791542,1.586783052,2.173076153,1.364542127,0.714991272,-0.406338573,1.107436061,0.717061937,0.305106193,-1.554013491,0,0.461256564,-0.442689806,-0.485812157,0,0.593024135,0.793234825,0.990522862,2.154447556,2.398922443,1.598540783,1.191562057,0
0.698179722,-1.621712089,1.280481577,0.884786725,-0.982137084,0.794051349,-1.065512776,0.320035458,2.173076153,0.52401036,-1.027652979,-1.251347303,0,0.894263804,-0.158210367,-0.551603973,2.548224449,0.515779793,1.785945177,0.372184575,0,1.745751619,1.104919076,0.987288952,0.899333954,0.889718831,0.980083585,0.951871991,0
0.39639768,-1.735666394,-0.558434188,0.88233006,1.528231144,0.979464352,-0.855584085,-1.076541424,2.173076153,0.336791843,0.083598413,1.360896945,0,0.32472384,2.016373634,1.139331818,0,0.776712239,-0.654226959,-0.18782495,3.101961374,0.655574501,0.788276196,0.991822243,0.774514675,0.664056063,0.857322514,0.765752196,1
0.459535837,0.826845288,1.565680385,0.930551648,-0.325538784,0.925690949,-0.424834073,-1.324901462,0,0.895677447,0.940349937,-0.19494842,2.214872122,1.3886379,0.654641688,0.784301221,2.548224449,1.345311284,-0.690038323,0.6968081,0,0.809947968,1.380629778,0.99178052,0.69205147,0.927263856,1.097231984,0.890658498,1
1.428019881,-0.301984489,-0.388644397,0.206693605,-0.254241079,0.852130294,-1.537852407,1.057354569,2.173076153,0.961399138,0.376953274,1.672711253,0,1.75322783,-0.519579053,0.202938676,2.548224449,1.322674513,-1.826009393,-1.425835967,0,0.494265676,0.84292084,0.984613895,0.841788471,1.315813541,1.071417451,1.041346908,0
0.295193642,-1.44931972,0.81384325,0.819366574,1.560582399,2.120981932,1.059520721,0.431464911,0,1.557426214,-0.426372766,-1.447202206,0,2.622904778,-0.196440831,-0.53607136,2.548224449,2.267094135,0.164438307,-1.519616246,1.550980687,1.039773226,0.758741796,0.998118103,1.164028645,1.494657993,0.979988396,0.869041085,1
0.445261121,1.137541413,-1.15102613,0.515960097,-0.738983572,0.835915864,-0.056468539,-0.125784889,1.086538076,0.745348692,-1.196671963,1.669382334,1.107436061,1.10307765,-0.435836256,0.640624821,0,0.801296294,-0.692536831,-1.253813267,0,1.043767691,0.95261085,0.983922422,0.829954624,1.366584778,0.804176509,0.730702162,1
